File #,DateTime,Operator,Material,ID,SAMPLE,Projekt,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ba,Ba Err,Pb,Pb Err,Th,Th Err,U,U Err,Cal Check
4527,4/30/2025 15:17,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.8322,0.1105,8.337,0.079,19.9342,0.0795,< LOD,0.0052,0.036,0.0039,4.4329,0.0144,0.2901,0.0032,0.3349,0.0029,0.011,0.0013,0.006,0.0007,0.0144,0.0008,2.8032,0.0067,< LOD,0.0002,0.0017,0.0003,0.0041,0.0003,0.0025,0.0003,0.0031,0.0002,0.0226,0.0003,0.0038,0.0002,0.0034,0.0002,0.0149,0.0002,0.0013,0.0002,0.001,0.0002,0.1251,0.0165,0.001,0.0003,0.0023,0.0001,0.0012,0.0005,Passed
4528,4/30/2025 15:21,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.7681,0.1108,8.1836,0.0784,19.7093,0.079,< LOD,0.0052,0.0352,0.0039,4.3961,0.0143,0.2873,0.0032,0.3437,0.003,0.0105,0.0013,0.0048,0.0007,0.0137,0.0008,2.8114,0.0067,< LOD,0.0002,0.0018,0.0003,0.0041,0.0003,0.0026,0.0003,0.0034,0.0002,0.0226,0.0003,0.0038,0.0002,0.0037,0.0003,0.0143,0.0002,0.0012,0.0002,0.001,0.0002,0.133,0.0166,0.0009,0.0003,0.0023,0.0001,0.0012,0.0005,Passed
4529,4/30/2025 15:24,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.839,0.1108,8.2587,0.0786,19.7936,0.0791,< LOD,0.0051,0.0449,0.004,4.3779,0.0143,0.2954,0.0032,0.3114,0.0028,0.0121,0.0013,0.0055,0.0007,0.0139,0.0008,2.7531,0.0066,0.0004,0.0002,0.0021,0.0003,0.0039,0.0003,0.0026,0.0003,0.003,0.0002,0.0224,0.0003,0.0037,0.0002,0.0034,0.0002,0.0143,0.0002,0.0012,0.0002,0.001,0.0002,0.1445,0.0164,0.001,0.0003,0.0022,0.0001,0.0014,0.0005,Passed
4530,4/30/2025 15:26,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.9294,0.1127,8.2663,0.0786,19.7156,0.0789,< LOD,0.0052,0.0417,0.0039,4.4067,0.0144,0.298,0.0033,0.3139,0.0029,0.0116,0.0013,0.0056,0.0007,0.0135,0.0008,2.7615,0.0066,< LOD,0.0002,0.0019,0.0003,0.0041,0.0003,0.0027,0.0003,0.0031,0.0002,0.0223,0.0003,0.0037,0.0002,0.0034,0.0002,0.0143,0.0002,0.0014,0.0002,0.001,0.0002,0.1472,0.0165,0.0007,0.0003,0.0022,0.0001,0.0016,0.0005,Passed
4531,4/30/2025 15:33,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.8221,0.1098,8.2713,0.0787,19.8899,0.0793,< LOD,0.0052,0.038,0.004,4.4104,0.0144,0.2957,0.0033,0.3114,0.0028,0.0104,0.0013,0.005,0.0007,0.0128,0.0008,2.7657,0.0066,< LOD,0.0002,0.002,0.0003,0.0041,0.0003,0.003,0.0003,0.0032,0.0002,0.0223,0.0003,0.0035,0.0002,0.0033,0.0002,0.0142,0.0002,0.0013,0.0002,0.001,0.0002,0.1376,0.0164,0.0008,0.0003,0.0022,0.0001,0.0013,0.0005,Passed
4532,4/30/2025 15:36,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.8658,0.1104,8.2766,0.0786,19.7878,0.0791,< LOD,0.0051,0.0486,0.004,4.3927,0.0143,0.2979,0.0033,0.3209,0.0029,0.0118,0.0013,0.0052,0.0007,0.0134,0.0008,2.7542,0.0066,0.0002,0.0002,0.0019,0.0003,0.004,0.0003,0.0022,0.0003,0.0028,0.0002,0.0228,0.0003,0.004,0.0002,0.0035,0.0002,0.0141,0.0002,0.0012,0.0002,0.0008,0.0002,0.1399,0.0165,0.0011,0.0003,0.0023,0.0001,0.0019,0.0005,Passed
4533,4/30/2025 15:38,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.7813,0.1101,8.2721,0.0787,19.7916,0.0791,< LOD,0.0052,0.0411,0.004,4.3914,0.0143,0.3052,0.0033,0.304,0.0028,0.0109,0.0012,0.0058,0.0007,0.0139,0.0008,2.7363,0.0066,< LOD,0.0002,0.0017,0.0003,0.004,0.0003,0.0027,0.0003,0.0031,0.0002,0.0224,0.0003,0.0038,0.0002,0.0036,0.0002,0.0142,0.0002,0.0015,0.0002,0.0009,0.0002,0.1503,0.0164,0.0007,0.0003,0.0023,0.0001,0.001,0.0005,Passed
4534,4/30/2025 15:41,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.9769,0.1172,9.2653,0.0835,22.6854,0.0855,< LOD,0.0055,0.0393,0.0041,4.7999,0.0153,0.3356,0.0035,0.3791,0.0031,0.0113,0.0013,0.0056,0.0007,0.0175,0.0009,2.9329,0.0068,< LOD,0.0002,0.0018,0.0003,0.0044,0.0003,0.0026,0.0003,0.0035,0.0002,0.0234,0.0003,0.004,0.0002,0.0037,0.0002,0.0167,0.0002,0.0016,0.0002,0.001,0.0002,0.1299,0.0168,0.0011,0.0003,0.0023,0.0001,0.0016,0.0005,Passed
4535,4/30/2025 15:43,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.9247,0.1154,9.5882,0.0846,22.9086,0.0859,< LOD,0.0055,0.0415,0.0042,5.0138,0.0157,0.3213,0.0035,0.3107,0.0029,0.0121,0.0013,0.0059,0.0007,0.0138,0.0008,2.8011,0.0066,0.0002,0.0002,0.002,0.0003,0.0039,0.0003,0.0026,0.0003,0.0032,0.0002,0.0234,0.0003,0.0037,0.0002,0.0036,0.0002,0.0155,0.0002,0.0014,0.0002,0.0009,0.0002,0.1459,0.0165,0.001,0.0003,0.0022,0.0001,0.0012,0.0005,Passed
4536,4/30/2025 15:47,Supervisor,Standard,,Mudrock Standard,ESPRIT,Mudrock Dual,MudrockDual,120,,0,,0,,0,0.856,0.1106,8.4644,0.0794,20.2753,0.08,< LOD,0.0052,0.0454,0.004,4.4662,0.0145,0.2839,0.0032,0.3375,0.0029,0.0122,0.0013,0.0046,0.0007,0.0143,0.0008,2.6966,0.0065,< LOD,0.0002,0.0019,0.0003,0.0038,0.0003,0.0026,0.0003,0.0028,0.0002,0.0225,0.0003,0.0038,0.0002,0.0032,0.0002,0.0142,0.0002,0.0012,0.0002,0.0009,0.0002,0.1262,0.0164,0.0008,0.0003,0.0022,0.0001,0.0013,0.0005,Passed
