File,Mg_flag,Al_flag,Si_flag,P_flag,S_flag,K_flag,Ca_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Fe_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,As_flag,Rb_flag,Sr_flag,Y_flag,Zr_flag,Nb_flag,Mo_flag,Ba_flag,Pb_flag,Th_flag,U_flag
TOTAL_FLAGS,69,0,0,78,61,0,0,0,87,87,1,0,90,0,63,13,78,0,0,27,0,90,90,90,78,0,90
3388,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,,,,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR]
3389,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,,,,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR]
3390,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,,,,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR]
3398,,,,,,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3399,,,,,,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3400,,,,,,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3401,[LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3402,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3403,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
