Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\MeinZeugs\Uni\Publikationen\2025\MeIn pXRF\DAQ\Device_monitoring_sample_element_precision_Schauer\data_raw\Example_Precision\PDZ\03388-Mudrock Dual.pdz
SerialString,SG2-6390
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,1/1/2006 12:02:44 PM
TotalElapsedTimeInSeconds,0
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,40,,15,
XrayFilamentCurrentInMicroAmps,38.85,,27.9,
RawCounts,3529561,,3572977,
ValidCounts,2849484,,3002431,
eVPerChannel,20,,20,
StartingKeV,0.0007207794,,0,
ZeroOffsetInKeV,-0.0007207794,,0,
StartingChannel,0.03603897,,0.03603897,
NumberOfChannels,2048,,2048,
CountsPerSecond,70853.34,,65542.36,
XilinxFirmwareVersion,0,,0,
IlluminationID,,,,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,1/1/2006 12:02:44 PM,,1/1/2006 12:02:44 PM,
LiveTimeInSeconds,41.84401,,46.78699,
DeadTimeInSeconds,7.970999,,7.726996,
ResetTimeInSeconds,6.559003,,1.861001,
DetectorTempInC,-27.5,,-1000,
AmbientTempInF,108,,-1000,
NosePressureInMilliBars,1006,,1006,
NoseTemperatureInC,36,,36,
ActiveTimeInSeconds,49.81502,,54.51401,
PacketTimeInSeconds,56.37402,,56.37501,
CommunicationTimeInSeconds,,,,
ElapsedClockTimeInSeconds,0,,0,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007207794,0,0,0
2,0.02072078,0,0.02,0
3,0.04072078,0,0.04,0
4,0.06072078,0,0.06,0
5,0.08072078,0,0.08,0
6,0.1007208,0,0.1,0
7,0.1207208,0,0.12,0
8,0.1407208,0,0.14,0
9,0.1607208,0,0.16,0
10,0.1807208,0,0.18,0
11,0.2007208,0,0.2,0
12,0.2207208,0,0.22,0
13,0.2407208,0,0.24,0
14,0.2607208,1,0.26,0
15,0.2807208,9,0.28,8
16,0.3007208,100,0.3,98
17,0.3207208,586,0.32,593
18,0.3407208,2617,0.34,2648
19,0.3607208,6869,0.36,7499
20,0.3807208,10874,0.38,12745
21,0.4007208,10759,0.4,12341
22,0.4207208,6455,0.42,7185
23,0.4407208,2405,0.44,2532
24,0.4607208,596,0.46,552
25,0.4807208,78,0.48,95
26,0.5007208,21,0.5,9
27,0.5207208,5,0.52,1
28,0.5407208,5,0.54,2
29,0.5607208,2,0.56,0
30,0.5807208,3,0.58,3
31,0.6007208,1,0.6,2
32,0.6207208,2,0.62,2
33,0.6407208,5,0.64,0
34,0.6607208,1,0.66,3
35,0.6807208,664,0.68,61
36,0.7007208,659,0.7,99
37,0.7207208,667,0.72,77
38,0.7407208,656,0.74,90
39,0.7607208,673,0.76,64
40,0.7807208,628,0.78,89
41,0.8007208,640,0.8,83
42,0.8207208,641,0.82,79
43,0.8407208,683,0.84,113
44,0.8607208,618,0.86,116
45,0.8807208,653,0.88,131
46,0.9007208,635,0.9,176
47,0.9207208,617,0.92,238
48,0.9407208,614,0.94,278
49,0.9607208,634,0.96,271
50,0.9807208,592,0.98,226
51,1.000721,601,1,174
52,1.020721,623,1.02,128
53,1.040721,588,1.04,157
54,1.060721,623,1.06,189
55,1.080721,569,1.08,203
56,1.100721,623,1.1,164
57,1.120721,544,1.12,172
58,1.140721,546,1.14,160
59,1.160721,618,1.16,187
60,1.180721,578,1.18,230
61,1.200721,566,1.2,243
62,1.220721,549,1.22,282
63,1.240721,533,1.24,252
64,1.260721,552,1.26,231
65,1.280721,528,1.28,190
66,1.300721,508,1.3,156
67,1.320721,561,1.32,135
68,1.340721,511,1.34,157
69,1.360721,504,1.36,215
70,1.380721,513,1.38,405
71,1.400721,514,1.4,893
72,1.420721,551,1.42,2259
73,1.440721,592,1.44,4233
74,1.460721,620,1.46,6421
75,1.480721,740,1.48,7518
76,1.500721,623,1.5,6570
77,1.520721,605,1.52,4968
78,1.540721,552,1.54,3378
79,1.560721,545,1.56,2387
80,1.580721,509,1.58,1681
81,1.600721,489,1.6,1432
82,1.620721,465,1.62,2362
83,1.640721,546,1.64,6429
84,1.660721,647,1.66,17838
85,1.680721,965,1.68,40374
86,1.700721,1347,1.7,70299
87,1.720721,1660,1.72,94993
88,1.740721,1677,1.74,101119
89,1.760721,1430,1.76,81798
90,1.780721,1123,1.78,52690
91,1.800721,764,1.8,28411
92,1.820721,619,1.82,14040
93,1.840721,550,1.84,7336
94,1.860721,491,1.86,4026
95,1.880721,465,1.88,2197
96,1.900721,430,1.9,1160
