metric,Mudrock Standard,SdAR-M2,SiO2,Element_mean,Element_median,Element_SD,Element_CV,Empirical_LOD,Manufacturer_LOD,Empirical_LOQ
Mg_Mean,1677,1489,1128,1431,1460,198,14,4293,404,14167
Mg_SD,38,24,13,25,24,9,36,75,NA,248
Mg_CV,2.25,1.6,1.17,2,2,0,0,6,NA,20
Al_Mean,1197,916,290,801,858,329,41,2403,111,7930
Al_SD,34,27,2,21,24,12,57,63,NA,208
Al_CV,2.84,2.91,0.74,2,2,1,50,6,NA,20
Si_Mean,1208,1241,1208,1219,1214,14,1,3657,56,12068
Si_SD,41,41,4,29,35,15,52,87,NA,287
Si_CV,3.4,3.31,0.3,2,3,1,50,6,NA,20
P_Mean,79,88,65,77,78,8,10,231,12,762
P_SD,2,3,1,2,2,1,50,6,NA,20
P_CV,2.73,3.15,1.12,2,2,1,50,6,NA,20
S_Mean,60,82,53,65,62,11,17,195,32,644
S_SD,1,2,1,1,1,0,0,3,NA,10
S_CV,2.36,2.62,1.48,2,2,0,0,6,NA,20
K_Mean,219,190,27,145,168,74,51,435,16,1436
K_SD,7,7,0,5,6,3,60,15,NA,50
K_CV,3.38,3.9,1.75,3,3,1,33,9,NA,30
Ca_Mean,50,68,20,46,48,17,37,138,14,455
Ca_SD,2,2,0,1,2,1,100,3,NA,10
Ca_CV,3.5,3.13,2.41,3,3,0,0,9,NA,30
Ti_Mean,44,33,16,31,32,10,32,93,8,307
Ti_SD,1,1,0,1,1,0,0,3,NA,10
Ti_CV,3.25,2.57,2.9,3,3,0,0,9,NA,30
V_Mean,19,17,12,16,16,3,19,48,2,158
V_SD,0,1,0,0,0,0,NA,0,NA,0
V_CV,2.45,4.27,3.9,4,4,1,25,12,NA,40
Cr_Mean,10,10,9,10,10,0,0,30,3,99
Cr_SD,0,0,0,0,0,0,NA,0,NA,0
Cr_CV,0,4.58,0,2,1,2,100,6,NA,20
Mn_Mean,12,18,12,14,13,2,14,42,10,139
Mn_SD,0,0,0,0,0,0,NA,0,NA,0
Mn_CV,3.9,2.66,0,2,2,1,50,6,NA,20
Fe_Mean,99,79,17,65,72,30,46,195,8,644
Fe_SD,1,0,1,1,1,0,0,3,NA,10
Fe_CV,1.24,0.6,4.58,2,2,2,100,6,NA,20
Co_Mean,3,2,0,2,2,1,50,6,0,20
Co_SD,0,0,0,0,0,0,NA,0,NA,0
Co_CV,0,0,NA,0,0,0,NA,0,NA,0
Ni_Mean,4,6,2,4,4,1,25,12,3,40
Ni_SD,0,1,1,1,1,0,0,3,NA,10
Ni_CV,0,13.06,35.14,16,15,13,81,48,NA,158
Cu_Mean,4,9,3,5,4,2,40,15,1,50
Cu_SD,0,0,0,0,0,0,NA,0,NA,0
Cu_CV,0,0,0,0,0,0,NA,0,NA,0
Zn_Mean,4,13,2,6,5,4,67,18,2,59
Zn_SD,0,1,0,0,0,0,NA,0,NA,0
Zn_CV,0,6.2,0,2,1,3,150,6,NA,20
As_Mean,3,8,2,4,4,2,50,12,2,40
As_SD,0,0,0,0,0,0,NA,0,NA,0
As_CV,0,0,0,0,0,0,NA,0,NA,0
Rb_Mean,4,3,3,3,3,0,0,9,2,30
Rb_SD,0,0,0,0,0,0,NA,0,NA,0
Rb_CV,0,0,0,0,0,0,NA,0,NA,0
Sr_Mean,3,4,3,3,3,0,0,9,2,30
Sr_SD,0,1,0,0,0,0,NA,0,NA,0
Sr_CV,0,19.86,0,7,4,8,114,21,NA,69
Y_Mean,3,3,3,3,3,0,0,9,2,30
Y_SD,0,0,0,0,0,0,NA,0,NA,0
Y_CV,15.06,15.06,0,10,13,6,60,30,NA,99
Zr_Mean,3,4,3,3,3,0,0,9,1,30
Zr_SD,0,1,0,0,0,0,NA,0,NA,0
Zr_CV,0,15.06,0,5,2,6,120,15,NA,50
Nb_Mean,3,3,3,3,3,0,0,9,3,30
Nb_SD,0,0,0,0,0,0,NA,0,NA,0
Nb_CV,0,0,0,0,0,0,NA,0,NA,0
Mo_Mean,3,3,3,3,3,0,0,9,4,30
Mo_SD,0,0,0,0,0,0,NA,0,NA,0
Mo_CV,0,0,0,0,0,0,NA,0,NA,0
Ba_Mean,248,235,175,219,227,28,13,657,17,2168
Ba_SD,2,2,1,2,2,0,0,6,NA,20
Ba_CV,0.76,0.69,0.83,1,1,0,0,3,NA,10
Pb_Mean,4,7,4,5,4,1,20,15,14,50
Pb_SD,0,0,0,0,0,0,NA,0,NA,0
Pb_CV,0,6.45,0,2,1,3,150,6,NA,20
Th_Mean,2,2,0,1,2,1,100,3,2,10
Th_SD,0,0,0,0,0,0,NA,0,NA,0
Th_CV,0,0,NA,0,0,0,NA,0,NA,0
U_Mean,8,8,8,8,8,0,0,24,2,79
U_SD,0,0,0,0,0,0,NA,0,NA,0
U_CV,0,0,0,0,0,0,NA,0,NA,0
